"collection","creator","date","description","format","identifier","language","mediatype","publisher","subject","title"
"digitallibraryindia,JaiGyan","Sethiya Bherodan","1941-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.444904 dc.contributor.author: Sethiya Bherodan dc.date.accessioned: 2015-09-16T17:59:50Z dc.date.available: 2015-09-16T17:59:50Z dc.date.copyright: 1941 dc.date.digitalpublicationdate: 2011/02 dc.date.citation: 1941 dc.identifier.barcode: 99999990030455 dc.identifier.origpath: /data8/upload/0227/737 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/444904 dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 476 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Bikaner, Agarchand Bherodan Sethiya Jain Parmarthik Sanstha dc.source.library: Shri Jain Swetamber Khartargacch Sangh, Jaipur dc.subject.classification: Devotional dc.title: Shri Jain Sidhant Bol Sagrah Part-2 dc.type: Print - Paper","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.444904","hin","texts","","Banasthali","Shri Jain Sidhant Bol Sagrah Part-2"
"digitallibraryindia,JaiGyan","Digital Library Of India,Cdac Noida","","Book Source: Digital Library of India Item 2015.427751 dc.date.accessioned: 2015-09-11T21:42:10Z dc.date.available: 2015-09-11T21:42:10Z dc.date.digitalpublicationdate: 2009/05/01 dc.identifier.barcode: 99999990048674 dc.identifier.origpath: /data10/data51/upload/0008/051 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/427751 dc.description.scanningcentre: Veer Sewa Mandir, Dariya Ganj, Delhi dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 923 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India,Cdac Noida dc.rights: Not Available dc.title: Pandit Ratanchand Jain Mukhutar-1 dc.type: Print-Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.427751","hin","texts","","Other","Pandit Ratanchand Jain Mukhutar-1"
"kashijangamwadimath,additional_collections","eGangotri","","Jangamwadi Math Collection, 'Sadhu Pratikraman Sutra - Jain Vijayanand Printing Press'","Archive BitTorrent,DjVuTXT,Djvu XML,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR","zXBM_sadhu-pratikraman-sutra-jain-vijayanand-printing-press","","texts","","eGangotri-36,Jangamwadi Math,Jangamwadi Math Library Collection,जंगमवाड़ी मठ,Jangamwadi Math Printed Books Collection,Jangamwadi Hindi","Sadhu Pratikraman Sutra Jain Vijayanand Printing Press"
"mumukshubhawhncollection,additional_collections,fav-desertdestiny","Sasta Sahitya Mandal, New Delhi","","Mumukshu Bhawan Varanasi Collection, 'Ram Tirth Sandesh Vol 1 By Yashpal Jain - Sasta Sahitya Mandal, New Delhi'","Archive BitTorrent,DjVuTXT,Djvu XML,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR","yAjG_ram-tirth-sandesh-vol-1-by-yashpal-jain-sasta-sahitya-mandal-new-delhi","","texts","","eGangotri-36,Mumukshu Bhawan Varanasi Collection,मुमुक्षु भवन संग्रह वाराणसी,Mumukshu Bhawan Manuscript Collection","Ram Tirth Sandesh Vol 1 By Yashpal Jain Sasta Sahitya Mandal, New Delhi"
"ArvindGupta,JaiGyan","GEETIKA JAIN","","AMERICAN FOLK TALE, MARATHI, PARJANYAVANE JIWANT JHALI, GEETIKA JAIN","Abbyy GZ,Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,Scandata,Single Page Processed JP2 ZIP,Unknown","ParjanyavaneJiwantJhali-Marathi-GeetikaJain","","texts","","AMERICAN FOLK TALE,MARATHI,PARJANYAVANE JIWANT JHALI,GEETIKA JAIN","PARJANYAVANE JIWANT JHALI - MARATHI - GEETIKA JAIN"
"digitallibraryindia,JaiGyan","Karbari Bhagu F.","1910-01-01T00:00:00Z","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Lbs National Academy Of Administration Date Accessioned: 6/19/2015 15:15 The Digital Library of India was a project under the auspices of the Government of India.","Abbyy GZ,Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP","dli.ernet.1216","eng","texts","Jain Printing, Bombay","Philosophy Psychology,India,C-DAC, Noida,DLI Top-Up","The Jain Philosophy Vol-i (1910)"
"digitallibraryindia,JaiGyan","","","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Gujrat Vidyapith Library Date Accessioned: 9/11/2015 3:20 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.419000","guj","texts","","C-DAC, Noida,DLI Top-Up","Jain Gnanoday Kavya"
"opensource_image,community","ZIC-MAN","2018-08-28T00:00:00Z","Jain - Souldier - Cover","Archive BitTorrent,Book Cover,Item Tile,Metadata","JainSouldierCover","","image","","Jain,Souldier,Cover,2018","Jain Souldier Cover"
"digitallibraryindia,JaiGyan,fav-hlrn,fav-lucke133,fav-sentip,fav-www_jupiter2saturn_com","javanesegraviton","","Old Indological Books ( संस्कृत )","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","JainVidyaEvamPrakritaDr.GokulChandraJain","san","texts","","Sanskrit-Related-Books,संस्कृत-ग्रंथ","Jain Vidya Evam Prakrita Dr. Gokul Chandra Jain"
"dayal_agnihotri-library,additional_collections,fav-lucke133,fav-chirag_joshi","Sampurnanand University","","'Samveg Chudamani of Dr. Anekant Kumar Jain Prakrit Jainvidya Granthmala Series 6 - Sampurnanand University'","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","JiRW_samveg-chudamani-of-dr.-anekant-kumar-jain-prakrit-jainvidya-granthmala-series-6","","texts","","'Data scrapped from https://203.88.139.46/ihg/tree_1/brwhtm/'","Samveg Chudamani Of Dr. Anekant Kumar Jain Prakrit Jainvidya Granthmala Series 6 Sampurnanand University"
"digitallibraryindia,JaiGyan","Taahira Wable","","'Nyaya Kumud Chandra of Bhattakalanka Deva Ed. Mahendra Kumar Nyaya Sastri Vol 1 (Jain Logic)'","Archive BitTorrent,DjVuTXT,Djvu XML,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,Text PDF,chOCR,hOCR","nyayakumudchandraofbhattakalankadevaed.mahendrakumarnyayasastrivol1jainlogic_485_w","san","texts","","Taahira Wable","Nyaya Kumud Chandra Of Bhattakalanka Deva Ed. Mahendra Kumar Nyaya Sastri Vol 1 ( Jain Logic)"
"digitallibraryindia,JaiGyan,fav-miss_mir,fav-minupatel","Narsing Bhai","1924-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.305231 dc.contributor.author: Narsing Bhai dc.date.accessioned: 2015-08-10T12:59:46Z dc.date.available: 2015-08-10T12:59:46Z dc.date.copyright: 1924 dc.date.digitalpublicationdate: 2012/10 dc.date.citation: 1924 dc.identifier.barcode: 99999990318141 dc.identifier.origpath: /data14/upload/0008/971 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/305231 dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 465 dc.format.mimetype: application/pdf dc.language.iso: Gujarati dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Xxxx dc.source.library: Bharatiya Vidya Bhavan Library, Mumbai dc.title: Jain Dharm dc.type: Print - Paper","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.305231","guj","texts","","Banasthali","Jain Dharm"
"wcca_tv,community_media,newsandpublicaffairs","WCCA","2013-01-01T00:00:00Z","Hosts Ron Motta and Sandy Williamson show viewers how to participate and become active in Worcester. Kamal Jain former candidate for state auditor talks about the need for transparency in government is tonight's guest.","ASR,Animated GIF,Archive BitTorrent,MP3,MPEG2,Metadata,Ogg Video,PNG,SubRip,Thumbnail,Video Index,h.264","activateworcester25","","movies","","WCCA,Worcester,Massachusetts,PEG,tv,talk,Activate Worcester,2013","Activate Worcester #25 Kamal Jain"
"digitallibraryindia,JaiGyan","","","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Gujrat Vidyapith Library Date Accessioned: 9/10/2015 23:50 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.412872","guj","texts","","C-DAC, Noida,DLI Top-Up","Jain Duha Sangrah"
"digitallibraryindia,JaiGyan","","","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Gujrat Vidyapith Library Date Accessioned: 9/11/2015 3:27 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.422047","guj","texts","","C-DAC, Noida,DLI Top-Up","Jain Dharma Pravesh Pothi Bhag Trija Na Artha."
"digitallibraryindia,JaiGyan","","","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Gujrat Vidyapith Library Date Accessioned: 9/11/2015 3:29 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.422725","guj","texts","","C-DAC, Noida,DLI Top-Up","Jain Chintamani Vartamala."
"digitallibraryindia,JaiGyan","","1937-01-01T00:00:00Z","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: '' Date Accessioned: 9/11/2015 23:36 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.426529","hin","texts","","C-DAC, Noida,DLI Top-Up","Jain Dharam (1994) (acharya Pravar Sushil Muni) Mlj 32"
"digitallibraryindia,JaiGyan","Mukhtar Jugalkishor","1921-01-01T00:00:00Z","Source: Digital Library of India Scanning Centre: Veer Sewa Mandir, Dariya Ganj, Delhi Source Library: '' Date Accessioned: 9/11/2015 23:37 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.426574","hin","texts","Jain Granth Rantankar Office","Veer Sewa Mandir, Dariya Ganj, Delhi,DLI Top-Up","Jain Hiaisi Ac.2573"
"digitallibraryindia,JaiGyan","","","Source: Digital Library of India Scanning Centre: Veer Sewa Mandir, Dariya Ganj, Delhi Source Library: '' Date Accessioned: 9/11/2015 23:36 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.426414","hin","texts","","Veer Sewa Mandir, Dariya Ganj, Delhi,DLI Top-Up","History Of Etant Digambara Jain Agama Ac 6926"
"digitallibraryindia,JaiGyan","Bhaaskar Bhaagachandr","1977-01-01T00:00:00Z","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Bharatiya Gyanpeeth Date Accessioned: 9/23/2015 15:17 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.472720","hin","texts","Naagapur Vidyaapiitha Prakaashan, Naagapur","RELIGION THEOLOGY,C-DAC, Noida,DLI Top-Up","Jain Darshan Aur Sanskrxti Kaa Itihaas"
"rjrameshaudio,radiostationarchives,folksoundomy","Rj Ramesh","2016-06-01T00:00:00Z","A talk on Personal and social  change with the help of Spirituality","Archive BitTorrent,Columbia Peaks,Item Tile,Metadata,Ogg Vorbis,PNG,Spectrogram,VBR MP3","Dr.SurendraKumarJainInterview","hin","audio","","Dr.Surendra Kumar Jain","Dr. Surendra Kumar Jain Interview"
"ArvindGupta,JaiGyan","YASHPAL JAIN","","NASHE KA TAMASHA - HINDI - YASHPAL JAIN","Abbyy GZ,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Item Tile,Metadata,Scandata,Single Page Processed JP2 ZIP,Text PDF,Unknown","NasheKaTamasha-Hindi-YashpalJain","","texts","","NASHE KA TAMASHA - HINDI - YASHPAL JAIN","NASHE KA TAMASHA - HINDI - YASHPAL JAIN"
"digitallibraryindia,JaiGyan","Balabhai","1911-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.303779 dc.contributor.author: Balabhai dc.date.accessioned: 2015-08-10T12:56:21Z dc.date.available: 2015-08-10T12:56:21Z dc.date.copyright: 1911 dc.date.digitalpublicationdate: 2011/07 dc.date.citation: 1911 dc.identifier.barcode: 99999990312915 dc.identifier.origpath: /data14/upload/0003/745 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/303779 dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 164 dc.format.mimetype: application/pdf dc.language.iso: Gujarati dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Ahamdabad, Akshar Press dc.source.library: Shri Abhaya Jain Granthalaya, Bikaner dc.title: Sajgiii0609 Jain Bol Sangrah Part 1 dc.type: Print - Paper","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.303779","guj","texts","","Banasthali","Sajgiii0609 Jain Bol Sangrah Part 1"
"digitallibraryindia,JaiGyan","Dr.bhogilal","1952-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.304438 dc.contributor.author: Dr.bhogilal dc.date.accessioned: 2015-08-10T12:57:52Z dc.date.available: 2015-08-10T12:57:52Z dc.date.copyright: 1952 dc.date.digitalpublicationdate: 2012/10 dc.date.citation: 1952 dc.identifier.barcode: 99999990317427 dc.identifier.origpath: /data14/upload/0008/257 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/304438 dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 253 dc.format.mimetype: application/pdf dc.language.iso: Gujarati dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Ahmedabad.,gujrat Vidyasabha dc.source.library: Bharatiya Vidya Bhavan Library, Mumbai dc.title: Jain Agam Sahityamam Gujrat dc.type: Print - Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.304438","guj","texts","","Banasthali","Jain Agam Sahityamam Gujrat"
"digitallibraryindia,JaiGyan","Shree Aatmaram Uppadya","1931-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.308613 dc.contributor.author: Shree Aatmaram Uppadya dc.date.accessioned: 2015-08-10T13:07:34Z dc.date.available: 2015-08-10T13:07:34Z dc.date.copyright: 1931 dc.date.digitalpublicationdate: 2011/07 dc.date.citation: 1931 dc.identifier.barcode: 99999990310577 dc.identifier.origpath: /data14/upload/0001/407 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/308613 dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 202 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Ahamdabad.uniuan Press dc.source.library: Agarchand Bhairondan Sethiya Jain Parmarthik Sanstha, Bikaner dc.title: Jain Siddant dc.type: Print - Paper","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.308613","hin","texts","","Banasthali","Jain Siddant"
"digitallibraryindia,JaiGyan","gujrat vidyapith library","","Book Source: Digital Library of India Item 2015.318204 dc.date.accessioned: 2015-08-11T15:14:11Z dc.date.available: 2015-08-11T15:14:11Z dc.date.digitalpublicationdate: 2010/03/29 dc.identifier.barcode: 99999990261559 dc.identifier.origpath: /data4/upload/0114/363 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/318204 dc.description.scanningcentre: Unknown dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 364 dc.format.mimetype: application/pdf dc.language.iso: Gujarati dc.publisher.digitalrepublisher: gujrat vidyapith library dc.source.library: Gujrat Vidyapith Library dc.title: Jain Katha Ratna Kosh Bhag-2 dc.type: print-paper dc.type: book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.318204","guj","texts","","Other","Jain Katha Ratna Kosh Bhag-2"
"digitallibraryindia,JaiGyan","gujrat vidyapith library","","Book Source: Digital Library of India Item 2015.318350 dc.date.accessioned: 2015-08-11T15:17:42Z dc.date.available: 2015-08-11T15:17:42Z dc.date.digitalpublicationdate: 2010/02/15 dc.identifier.barcode: 99999990259770 dc.identifier.origpath: /data4/upload/0112/574 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/318350 dc.description.scanningcentre: Unknown dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 472 dc.format.mimetype: application/pdf dc.language.iso: Gujarati dc.publisher.digitalrepublisher: gujrat vidyapith library dc.source.library: Gujrat Vidyapith Library dc.title: Jain Prabodha Pus-1 dc.type: print-paper dc.type: book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.318350","guj","texts","","Other","Jain Prabodha Pus-1"
"digitallibraryindia,JaiGyan","digital library of india","1978-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.320279 dc.date.accessioned: 2015-08-11T21:02:18Z dc.date.available: 2015-08-11T21:02:18Z dc.date.copyright: 1978 dc.date.digitalpublicationdate: 2010/04/22 dc.date.citation: 1978 dc.identifier.barcode: 99999990262609 dc.identifier.origpath: /data4/upload/0115/413 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/320279 dc.description.scanningcentre: Unknown dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 204 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: digital library of india dc.source.library: Vir Seva Mandir Daryaganj dc.title: Jain Jyoti Etihasik Vyaktikosh Vol 1 (1988) Ac 6005 dc.type: print-paper dc.type: book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.320279","hin","texts","","Other","Jain Jyoti Etihasik Vyaktikosh Vol 1 (1988) Ac 6005"
"digitallibraryindia,JaiGyan","digital library of india","","Book Source: Digital Library of India Item 2015.320310 dc.date.accessioned: 2015-08-11T21:03:08Z dc.date.available: 2015-08-11T21:03:08Z dc.date.copyright: 1948 dc.date.digitalpublicationdate: 2009/09/01 dc.identifier.barcode: 99999990262657 dc.identifier.origpath: /data4/upload/0115/461 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/320310 dc.description.scanningcentre: Unknown dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 658 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: digital library of india dc.source.library: Vir Seva Mandir Daryaganj dc.title: Jain Tatavdhashara (1936)ac 1304 dc.type: print-paper dc.type: book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.320310","hin","texts","","Other","Jain Tatavdhashara (1936)ac 1304"
"digitallibraryindia,JaiGyan,fav-daksh010","Tilak Vijay","1932-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.340857 dc.contributor.author: Tilak Vijay dc.date.accessioned: 2015-08-12T21:18:59Z dc.date.available: 2015-08-12T21:18:59Z dc.date.copyright: 1932 dc.date.digitalpublicationdate: 2009/11 dc.date.citation: 1932 dc.identifier.barcode: 99999990232771 dc.identifier.origpath: /data3/upload/0087/002 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/340857 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 284 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Delhi, Victoria Crass Press dc.rights: Copyright permitted dc.source.library: Sanmati Library, Jaipur dc.subject.classification: Jain sahitya dc.subject.classification: Jain sahitya - vikar dc.title: Jain Sahitya Me Vikar dc.type: Print - Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.340857","hin","texts","","Banasthali","Jain Sahitya Me Vikar"
"digitallibraryindia,JaiGyan","Jain, Niamatsingh","1923-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.340915 dc.contributor.author: Jain, Niamatsingh dc.date.accessioned: 2015-08-12T21:19:08Z dc.date.available: 2015-08-12T21:19:08Z dc.date.copyright: 1923 dc.date.digitalpublicationdate: 2009/11 dc.date.citation: 1923 dc.identifier.barcode: 99999990232823 dc.identifier.origpath: /data3/upload/0087/054 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/340915 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 42 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Lucknow, Deshopakarak Press dc.rights: Copyright permitted dc.source.library: Sanmati Library, Jaipur dc.subject.classification: Jain sahitya dc.title: Moorti Mandan Prakash Arthat Jain Bhajan Pushpanjali dc.type: Print - Paper dc.type: Book","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.340915","hin","texts","","Banasthali","Moorti Mandan Prakash Arthat Jain Bhajan Pushpanjali"
"digitallibraryindia,JaiGyan","Jain, Kastoorchand","1925-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.344283 dc.contributor.author: Jain, Kastoorchand dc.date.accessioned: 2015-08-12T21:30:06Z dc.date.available: 2015-08-12T21:30:06Z dc.date.copyright: 1925 dc.date.digitalpublicationdate: 2009/11 dc.date.citation: 1925 dc.identifier.barcode: 99999990234156 dc.identifier.origpath: /data3/upload/0088/387 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/344283 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 468 dc.format.mimetype: application/pdf dc.language.iso: Sanskrit dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Calcutta, Jinvanipracharak Karyalay dc.rights: Copyright permitted dc.source.library: Sanmati Library, Jaipur dc.subject.classification: Jain sahitya dc.subject.classification: Jinvani sangrah dc.title: Vrahad Jain Siddhant Sangrah dc.type: Print - Paper dc.type: Book","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.344283","san","texts","","Banasthali","Vrahad Jain Siddhant Sangrah"
